date,org_name,metric,category_1,category_2,category_3,category_4
2018-01-01,North East and Yorkshire,90th percentile,13.36666667,55.96666667,173.0333333,212.6333333
2018-01-01,North West,Mean,9.85,39.98333333,81.18333333,102.4
2018-01-01,North West,90th percentile,16.73333333,91.55,194.2666667,196.5166667
2018-01-01,Midlands,Mean,8.15,23.86666667,46.83333333,59.21666667
2018-01-01,Midlands,90th percentile,14.4,50.15,111.0833333,150.05
2018-01-01,East of England,Mean,8.583333333,29.18333333,82.51666667,98.83333333
2018-01-01,East of England,90th percentile,15.41666667,60.81666667,202.9,232.1666667
2018-01-01,London,Mean,7.15,20.38333333,61.3,68.11666667
2018-01-01,London,90th percentile,11.71666667,42.08333333,144.7166667,139.0833333
2018-01-01,South East,Mean,7.5,16.33333333,61.53333333,89.68333333
2018-01-01,South East,90th percentile,13.46666667,31.4,140.2,212.5833333
2018-01-01,South West,Mean,9.166666667,29.83333333,64.31666667,95.73333333
2018-01-01,South West,90th percentile,16.83333333,62.63333333,148.7333333,215.85
2018-02-01,England (Average of all regions),Mean,8.283333333,25.58333333,68.63333333,93.61666667
2018-02-01,England (Average of all regions),90th percentile,14.28333333,53.96666667,161.5833333,209.8333333
2018-02-01,North East and Yorkshire,Mean,7.766666667,23.48333333,65.95,81.31666667
2018-02-01,North East and Yorkshire,90th percentile,13.26666667,50.51666667,154.6833333,201.5666667
2018-02-01,North West,Mean,8.85,31.88333333,75.96666667,97.88333333
2018-02-01,North West,90th percentile,14.88333333,71.81666667,181.8833333,191.05
2018-02-01,Midlands,Mean,8.383333333,26.45,55.86666667,62.83333333
2018-02-01,Midlands,90th percentile,14.55,55.45,131.5166667,164.5166667
2018-02-01,East of England,Mean,8.7,26.88333333,77.15,99.9
2018-02-01,East of England,90th percentile,15.63333333,56.03333333,187.6,241.0833333
2018-02-01,London,Mean,7.466666667,23.35,74.78333333,77.13333333
2018-02-01,London,90th percentile,11.78333333,49.33333333,178.35,154.2666667
2018-02-01,South East,Mean,7.783333333,17.11666667,75.1,111.1
2018-02-01,South East,90th percentile,14.01666667,32.66666667,172.5666667,255.0666667
2018-02-01,South West,Mean,9.3,31.66666667,67.5,131.75
2018-02-01,South West,90th percentile,17,65.35,157.75,281.3
2018-03-01,England (Average of all regions),Mean,8.583333333,27.73333333,75.23333333,97.55
2018-03-01,England (Average of all regions),90th percentile,14.93333333,59.28333333,179.6,217.3666667
2018-03-01,North East and Yorkshire,Mean,7.85,24.66666667,71.75,78.86666667
2018-03-01,North East and Yorkshire,90th percentile,13.46666667,52.76666667,167.8666667,189.85
2018-03-01,North West,Mean,9.833333333,36.73333333,86.46666667,102.3833333
2018-03-01,North West,90th percentile,16.66666667,85.13333333,207,196.5166667
2018-03-01,Midlands,Mean,8.6,28.76666667,57.63333333,60.48333333
2018-03-01,Midlands,90th percentile,15.3,61.46666667,138.8833333,155.9166667
2018-03-01,East of England,Mean,8.783333333,27.43333333,83.88333333,101.6
2018-03-01,East of England,90th percentile,15.66666667,56.38333333,209.25,242.6333333
2018-03-01,London,Mean,7.4,23.35,71.26666667,75.53333333
2018-03-01,London,90th percentile,11.96666667,49.35,171.4166667,156.6
2018-03-01,South East,Mean,7.9,19.83333333,87.8,125.2833333
2018-03-01,South East,90th percentile,14.46666667,39.21666667,206.2,290.5666667
2018-03-01,South West,Mean,9.733333333,35.11666667,82.35,156.2666667
2018-03-01,South West,90th percentile,17.7,73.5,195.2166667,332.4166667
2018-04-01,England (Average of all regions),Mean,7.616666667,20.15,49.18333333,75.75
2018-04-01,England (Average of all regions),90th percentile,13.4,41.4,114.8333333,169.4666667
2018-04-01,North East and Yorkshire,Mean,7.516666667,19.96666667,53.01666667,61.03333333
2018-04-01,North East and Yorkshire,90th percentile,12.85,41.8,123.7333333,146.65
2018-04-01,North West,Mean,7.85,23.65,59.25,88.46666667
2018-04-01,North West,90th percentile,13.4,51.96666667,141.6333333,176.25
2018-04-01,Midlands,Mean,7.8,21.05,36.41666667,40.71666667
2018-04-01,Midlands,90th percentile,14.03333333,42.8,82.7,95.5
2018-04-01,East of England,Mean,8.033333333,22.75,57.88333333,71.48333333
2018-04-01,East of England,90th percentile,14.6,47.41666667,137.1666667,167.4666667
2018-04-01,London,Mean,6.816666667,16.73333333,43.53333333,75.5
2018-04-01,London,90th percentile,11.25,32.78333333,100.35,176.45
2018-04-01,South East,Mean,7.066666667,15.28333333,55.91666667,81.65
2018-04-01,South East,90th percentile,12.93333333,29.2,131.3166667,195.1
2018-04-01,South West,Mean,8.516666667,23.38333333,50.63333333,121.6833333
2018-04-01,South West,90th percentile,15.83333333,48.25,118.6,254.2333333
2018-05-01,England (Average of all regions),Mean,7.733333333,21.18333333,57.55,88.16666667
2018-05-01,England (Average of all regions),90th percentile,13.51666667,43.71666667,135.1833333,198.9666667
2018-05-01,North East and Yorkshire,Mean,7.683333333,20.75,56.38333333,74.15
2018-05-01,North East and Yorkshire,90th percentile,13.03333333,43.66666667,132.5666667,182.3166667
2018-05-01,North West,Mean,8.166666667,24.76666667,66.68333333,94.43333333
2018-05-01,North West,90th percentile,13.85,54.75,158.85,186.8
2018-05-01,Midlands,Mean,7.55,20.71666667,41.66666667,51.18333333
2018-05-01,Midlands,90th percentile,13.35,41.55,95.33333333,127.5666667
2018-05-01,East of England,Mean,8.5,25,72.83333333,84.6
2018-05-01,East of England,90th percentile,15.45,51.16666667,177.8166667,200.3666667
2018-05-01,London,Mean,6.866666667,18.45,50.13333333,88.46666667
2018-05-01,London,90th percentile,11.35,37.4,120.9833333,217.0666667
2018-05-01,South East,Mean,7.366666667,16.41666667,65,96.81666667
2018-05-01,South East,90th percentile,13.36666667,31.9,151.6333333,221.7333333
2018-05-01,South West,Mean,8.4,24.71666667,70.15,164.95
2018-05-01,South West,90th percentile,15.78333333,51.56666667,161.7666667,352.7333333
2018-06-01,England (Average of all regions),Mean,7.6,21.5,59.6,91.35
2018-06-01,England (Average of all regions),90th percentile,13.3,44.26666667,139.6833333,204.1833333
2018-06-01,North East and Yorkshire,Mean,7.233333333,20.08333333,58.21666667,67.13333333
2018-06-01,North East and Yorkshire,90th percentile,12.23333333,41.83333333,134.8166667,155.5166667
2018-06-01,North West,Mean,8.3,23.25,62.48333333,91.45
2018-06-01,North West,90th percentile,14.18333333,51.41666667,147.6,182.5333333
2018-06-01,Midlands,Mean,7.133333333,21.01666667,44.2,55.41666667
2018-06-01,Midlands,90th percentile,12.55,42.23333333,101.6666667,128.45
2018-06-01,East of England,Mean,8.633333333,26.26666667,84.21666667,102.3166667
2018-06-01,East of England,90th percentile,15.65,53.11666667,205.5666667,243.1166667
2018-06-01,London,Mean,7.166666667,19.78333333,54.8,88.6
2018-06-01,London,90th percentile,11.75,40.05,132.15,201.6
2018-06-01,South East,Mean,7.366666667,16.51666667,63.98333333,94.51666667
2018-06-01,South East,90th percentile,13.68333333,31.83333333,147.4666667,224.35
